"Plot Title: 360_12-4_DAT"
"#","Date Time, GMT-04:00","Temp, °F (LGR S/N: 10889098, SEN S/N: 10889098)","Host Connected (LGR S/N: 10889098)","End Of File (LGR S/N: 10889098)"
1,10/05/17 02:00:00 PM,61.720,,
2,10/05/17 02:15:00 PM,61.677,,
3,10/05/17 02:30:00 PM,61.677,,
4,10/05/17 02:45:00 PM,61.761,,
5,10/05/17 03:00:00 PM,61.891,,
6,10/05/17 03:15:00 PM,61.977,,
7,10/05/17 03:30:00 PM,61.977,,
8,10/05/17 03:45:00 PM,61.934,,
9,10/05/17 04:00:00 PM,62.019,,
10,10/05/17 04:15:00 PM,61.977,,
11,10/05/17 04:30:00 PM,62.019,,
12,10/05/17 04:45:00 PM,62.062,,
13,10/05/17 05:00:00 PM,60.346,,
14,10/05/17 05:15:00 PM,61.162,,
15,10/05/17 05:30:00 PM,62.834,,
16,10/05/17 05:45:00 PM,64.459,,
17,10/05/17 06:00:00 PM,65.316,,
18,10/05/17 06:15:00 PM,65.872,,
19,10/05/17 06:30:00 PM,66.301,,
20,10/05/17 06:45:00 PM,66.600,,
21,10/05/17 07:00:00 PM,66.772,,
22,10/05/17 07:15:00 PM,66.857,,
23,10/05/17 07:30:00 PM,66.985,,
24,10/05/17 07:45:00 PM,67.199,,
25,10/05/17 08:00:00 PM,67.372,,
26,10/05/17 08:15:00 PM,67.543,,
27,10/05/17 08:30:00 PM,67.714,,
28,10/05/17 08:45:00 PM,67.842,,
29,10/05/17 09:00:00 PM,67.971,,
30,10/05/17 09:15:00 PM,68.099,,
31,10/05/17 09:30:00 PM,68.227,,
32,10/05/17 09:45:00 PM,68.356,,
33,10/05/17 10:00:00 PM,68.484,,
34,10/05/17 10:15:00 PM,68.614,,
35,10/05/17 10:30:00 PM,68.742,,
36,10/05/17 10:45:00 PM,68.913,,
37,10/05/17 11:00:00 PM,69.042,,
38,10/05/17 11:15:00 PM,69.170,,
39,10/05/17 11:30:00 PM,69.256,,
40,10/05/17 11:45:00 PM,69.343,,
41,10/06/17 12:00:00 AM,69.427,,
42,10/06/17 12:15:00 AM,69.514,,
43,10/06/17 12:30:00 AM,69.557,,
44,10/06/17 12:45:00 AM,69.643,,
45,10/06/17 01:00:00 AM,69.685,,
46,10/06/17 01:15:00 AM,69.771,,
47,10/06/17 01:30:00 AM,69.814,,
48,10/06/17 01:45:00 AM,69.814,,
49,10/06/17 02:00:00 AM,69.901,,
50,10/06/17 02:15:00 AM,69.901,,
51,10/06/17 02:30:00 AM,69.942,,
52,10/06/17 02:45:00 AM,70.029,,
53,10/06/17 03:00:00 AM,70.115,,
54,10/06/17 03:15:00 AM,70.201,,
55,10/06/17 03:30:00 AM,70.243,,
56,10/06/17 03:45:00 AM,70.286,,
57,10/06/17 04:00:00 AM,70.329,,
58,10/06/17 04:15:00 AM,70.416,,
59,10/06/17 04:30:00 AM,70.459,,
60,10/06/17 04:45:00 AM,70.502,,
61,10/06/17 05:00:00 AM,70.502,,
62,10/06/17 05:15:00 AM,70.543,,
63,10/06/17 05:30:00 AM,70.587,,
64,10/06/17 05:45:00 AM,70.630,,
65,10/06/17 06:00:00 AM,65.316,,
66,10/06/17 06:15:00 AM,62.191,,
67,10/06/17 06:30:00 AM,61.934,,
68,10/06/17 06:45:00 AM,61.848,,
69,10/06/17 07:00:00 AM,61.804,,
70,10/06/17 07:15:00 AM,61.720,,
71,10/06/17 07:30:00 AM,61.462,,
72,10/06/17 07:45:00 AM,61.419,,
73,10/06/17 08:00:00 AM,61.419,,
74,10/06/17 08:15:00 AM,61.290,,
75,10/06/17 08:30:00 AM,61.248,,
76,10/06/17 08:45:00 AM,61.248,,
77,10/06/17 09:00:00 AM,61.205,,
78,10/06/17 09:15:00 AM,61.162,,
79,10/06/17 09:30:00 AM,61.248,,
80,10/06/17 09:45:00 AM,61.290,,
81,10/06/17 10:00:00 AM,61.162,,
82,10/06/17 10:15:00 AM,61.162,,
83,10/06/17 10:30:00 AM,61.075,,
84,10/06/17 10:45:00 AM,61.119,,
85,10/06/17 11:00:00 AM,61.162,,
86,10/06/17 11:15:00 AM,61.075,,
87,10/06/17 11:30:00 AM,61.119,,
88,10/06/17 11:45:00 AM,61.119,,
89,10/06/17 12:00:00 PM,61.162,,
90,10/06/17 12:15:00 PM,61.248,,
91,10/06/17 12:30:00 PM,61.333,,
92,10/06/17 12:45:00 PM,61.333,,
93,10/06/17 01:00:00 PM,61.333,,
94,10/06/17 01:15:00 PM,61.376,,
95,10/06/17 01:30:00 PM,61.462,,
96,10/06/17 01:45:00 PM,61.547,,
97,10/06/17 02:00:00 PM,61.590,,
98,10/06/17 02:15:00 PM,61.633,,
99,10/06/17 02:30:00 PM,61.677,,
100,10/06/17 02:45:00 PM,61.720,,
101,10/06/17 03:00:00 PM,61.633,,
102,10/06/17 03:15:00 PM,61.506,,
103,10/06/17 03:30:00 PM,61.506,,
104,10/06/17 03:45:00 PM,61.547,,
105,10/06/17 04:00:00 PM,61.590,,
106,10/06/17 04:15:00 PM,61.590,,
107,10/06/17 04:30:00 PM,61.633,,
108,10/06/17 04:45:00 PM,61.720,,
109,10/06/17 05:00:00 PM,61.677,,
110,10/06/17 05:15:00 PM,61.677,,
111,10/06/17 05:30:00 PM,64.247,,
112,10/06/17 05:45:00 PM,66.558,,
113,10/06/17 06:00:00 PM,69.643,,
114,10/06/17 06:15:00 PM,71.791,,
115,10/06/17 06:30:00 PM,72.523,,
116,10/06/17 06:45:00 PM,72.912,,
117,10/06/17 07:00:00 PM,73.256,,
118,10/06/17 07:15:00 PM,73.299,,
119,10/06/17 07:30:00 PM,73.083,,
120,10/06/17 07:45:00 PM,72.912,,
121,10/06/17 08:00:00 PM,72.783,,
122,10/06/17 08:15:00 PM,72.653,,
123,10/06/17 08:30:00 PM,72.523,,
124,10/06/17 08:45:00 PM,72.437,,
125,10/06/17 09:00:00 PM,72.394,,
126,10/06/17 09:15:00 PM,72.307,,
127,10/06/17 09:30:00 PM,72.264,,
128,10/06/17 09:45:00 PM,72.221,,
129,10/06/17 10:00:00 PM,72.221,,
130,10/06/17 10:15:00 PM,72.221,,
131,10/06/17 10:30:00 PM,72.221,,
132,10/06/17 10:45:00 PM,72.221,,
133,10/06/17 11:00:00 PM,72.221,,
134,10/06/17 11:15:00 PM,72.264,,
135,10/06/17 11:30:00 PM,72.264,,
136,10/06/17 11:45:00 PM,72.264,,
137,10/07/17 12:00:00 AM,72.264,,
138,10/07/17 12:15:00 AM,72.307,,
139,10/07/17 12:30:00 AM,72.307,,
140,10/07/17 12:45:00 AM,72.307,,
141,10/07/17 01:00:00 AM,72.351,,
142,10/07/17 01:15:00 AM,72.351,,
143,10/07/17 01:30:00 AM,72.394,,
144,10/07/17 01:45:00 AM,72.394,,
145,10/07/17 02:00:00 AM,72.394,,
146,10/07/17 02:15:00 AM,72.394,,
147,10/07/17 02:30:00 AM,72.437,,
148,10/07/17 02:45:00 AM,72.437,,
149,10/07/17 03:00:00 AM,72.437,,
150,10/07/17 03:15:00 AM,72.480,,
151,10/07/17 03:30:00 AM,72.480,,
152,10/07/17 03:45:00 AM,72.480,,
153,10/07/17 04:00:00 AM,72.437,,
154,10/07/17 04:15:00 AM,72.437,,
155,10/07/17 04:30:00 AM,72.480,,
156,10/07/17 04:45:00 AM,72.523,,
157,10/07/17 05:00:00 AM,72.567,,
158,10/07/17 05:15:00 AM,72.567,,
159,10/07/17 05:30:00 AM,72.567,,
160,10/07/17 05:45:00 AM,72.567,,
161,10/07/17 06:00:00 AM,72.567,,
162,10/07/17 06:15:00 AM,72.567,,
163,10/07/17 06:30:00 AM,72.567,,
164,10/07/17 06:45:00 AM,72.567,,
165,10/07/17 07:00:00 AM,72.567,,
166,10/07/17 07:15:00 AM,72.567,,
167,10/07/17 07:30:00 AM,72.567,,
168,10/07/17 07:45:00 AM,72.567,,
169,10/07/17 08:00:00 AM,72.567,,
170,10/07/17 08:15:00 AM,72.567,,
171,10/07/17 08:30:00 AM,72.567,,
172,10/07/17 08:45:00 AM,72.523,,
173,10/07/17 09:00:00 AM,72.567,,
174,10/07/17 09:15:00 AM,72.523,,
175,10/07/17 09:30:00 AM,72.523,,
176,10/07/17 09:45:00 AM,72.523,,
177,10/07/17 10:00:00 AM,72.523,,
178,10/07/17 10:15:00 AM,72.523,,
179,10/07/17 10:30:00 AM,72.480,,
180,10/07/17 10:45:00 AM,72.394,,
181,10/07/17 11:00:00 AM,72.307,,
182,10/07/17 11:15:00 AM,72.307,,
183,10/07/17 11:30:00 AM,72.264,,
184,10/07/17 11:45:00 AM,72.221,,
185,10/07/17 12:00:00 PM,72.221,,
186,10/07/17 12:15:00 PM,72.178,,
187,10/07/17 12:30:00 PM,72.221,,
188,10/07/17 12:45:00 PM,72.178,,
189,10/07/17 01:00:00 PM,72.178,,
190,10/07/17 01:15:00 PM,72.221,,
191,10/07/17 01:30:00 PM,72.221,,
192,10/07/17 01:45:00 PM,72.264,,
193,10/07/17 02:00:00 PM,72.264,,
194,10/07/17 02:15:00 PM,72.307,,
195,10/07/17 02:30:00 PM,72.351,,
196,10/07/17 02:45:00 PM,72.437,,
197,10/07/17 03:00:00 PM,72.480,,
198,10/07/17 03:15:00 PM,72.567,,
199,10/07/17 03:30:00 PM,72.567,,
200,10/07/17 03:45:00 PM,72.653,,
201,10/07/17 04:00:00 PM,72.696,,
202,10/07/17 04:15:00 PM,72.783,,
203,10/07/17 04:30:00 PM,72.826,,
204,10/07/17 04:45:00 PM,72.912,,
205,10/07/17 05:00:00 PM,73.040,,
206,10/07/17 05:15:00 PM,73.126,,
207,10/07/17 05:30:00 PM,73.083,,
208,10/07/17 05:45:00 PM,73.126,,
209,10/07/17 06:00:00 PM,73.213,,
210,10/07/17 06:15:00 PM,73.429,,
211,10/07/17 06:30:00 PM,73.774,,
212,10/07/17 06:45:00 PM,73.990,,
213,10/07/17 07:00:00 PM,74.250,,
