"Plot Title: 360_12-4_MAT"
"#","Date Time, GMT-04:00","Temp, °F (LGR S/N: 10943772, SEN S/N: 10943772)","Host Connected (LGR S/N: 10943772)","End Of File (LGR S/N: 10943772)"
1,10/05/17 02:00:00 PM,71.533,,
2,10/05/17 02:15:00 PM,71.577,,
3,10/05/17 02:30:00 PM,71.620,,
4,10/05/17 02:45:00 PM,71.661,,
5,10/05/17 03:00:00 PM,71.704,,
6,10/05/17 03:15:00 PM,71.791,,
7,10/05/17 03:30:00 PM,71.834,,
8,10/05/17 03:45:00 PM,71.920,,
9,10/05/17 04:00:00 PM,71.920,,
10,10/05/17 04:15:00 PM,71.920,,
11,10/05/17 04:30:00 PM,71.877,,
12,10/05/17 04:45:00 PM,71.964,,
13,10/05/17 05:00:00 PM,72.178,,
14,10/05/17 05:15:00 PM,72.869,,
15,10/05/17 05:30:00 PM,73.213,,
16,10/05/17 05:45:00 PM,73.515,,
17,10/05/17 06:00:00 PM,73.688,,
18,10/05/17 06:15:00 PM,73.731,,
19,10/05/17 06:30:00 PM,73.731,,
20,10/05/17 06:45:00 PM,73.645,,
21,10/05/17 07:00:00 PM,73.515,,
22,10/05/17 07:15:00 PM,73.342,,
23,10/05/17 07:30:00 PM,73.126,,
24,10/05/17 07:45:00 PM,72.955,,
25,10/05/17 08:00:00 PM,72.783,,
26,10/05/17 08:15:00 PM,72.653,,
27,10/05/17 08:30:00 PM,72.567,,
28,10/05/17 08:45:00 PM,72.480,,
29,10/05/17 09:00:00 PM,72.351,,
30,10/05/17 09:15:00 PM,72.221,,
31,10/05/17 09:30:00 PM,72.178,,
32,10/05/17 09:45:00 PM,72.093,,
33,10/05/17 10:00:00 PM,72.007,,
34,10/05/17 10:15:00 PM,71.704,,
35,10/05/17 10:30:00 PM,71.661,,
36,10/05/17 10:45:00 PM,71.661,,
37,10/05/17 11:00:00 PM,71.490,,
38,10/05/17 11:15:00 PM,71.447,,
39,10/05/17 11:30:00 PM,71.447,,
40,10/05/17 11:45:00 PM,71.490,,
41,10/06/17 12:00:00 AM,71.317,,
42,10/06/17 12:15:00 AM,71.231,,
43,10/06/17 12:30:00 AM,71.231,,
44,10/06/17 12:45:00 AM,71.231,,
45,10/06/17 01:00:00 AM,71.274,,
46,10/06/17 01:15:00 AM,71.317,,
47,10/06/17 01:30:00 AM,71.317,,
48,10/06/17 01:45:00 AM,71.274,,
49,10/06/17 02:00:00 AM,71.231,,
50,10/06/17 02:15:00 AM,71.146,,
51,10/06/17 02:30:00 AM,71.017,,
52,10/06/17 02:45:00 AM,70.930,,
53,10/06/17 03:00:00 AM,70.930,,
54,10/06/17 03:15:00 AM,70.930,,
55,10/06/17 03:30:00 AM,70.930,,
56,10/06/17 03:45:00 AM,70.887,,
57,10/06/17 04:00:00 AM,70.887,,
58,10/06/17 04:15:00 AM,70.887,,
59,10/06/17 04:30:00 AM,70.930,,
60,10/06/17 04:45:00 AM,70.887,,
61,10/06/17 05:00:00 AM,70.887,,
62,10/06/17 05:15:00 AM,70.887,,
63,10/06/17 05:30:00 AM,70.846,,
64,10/06/17 05:45:00 AM,70.803,,
65,10/06/17 06:00:00 AM,72.826,,
66,10/06/17 06:15:00 AM,72.437,,
67,10/06/17 06:30:00 AM,72.136,,
68,10/06/17 06:45:00 AM,71.964,,
69,10/06/17 07:00:00 AM,71.834,,
70,10/06/17 07:15:00 AM,71.791,,
71,10/06/17 07:30:00 AM,71.704,,
72,10/06/17 07:45:00 AM,71.704,,
73,10/06/17 08:00:00 AM,71.620,,
74,10/06/17 08:15:00 AM,71.577,,
75,10/06/17 08:30:00 AM,71.490,,
76,10/06/17 08:45:00 AM,71.447,,
77,10/06/17 09:00:00 AM,71.447,,
78,10/06/17 09:15:00 AM,71.490,,
79,10/06/17 09:30:00 AM,71.533,,
80,10/06/17 09:45:00 AM,71.533,,
81,10/06/17 10:00:00 AM,71.577,,
82,10/06/17 10:15:00 AM,71.577,,
83,10/06/17 10:30:00 AM,71.577,,
84,10/06/17 10:45:00 AM,71.577,,
85,10/06/17 11:00:00 AM,71.620,,
86,10/06/17 11:15:00 AM,71.661,,
87,10/06/17 11:30:00 AM,71.661,,
88,10/06/17 11:45:00 AM,71.661,,
89,10/06/17 12:00:00 PM,71.620,,
90,10/06/17 12:15:00 PM,71.620,,
91,10/06/17 12:30:00 PM,71.620,,
92,10/06/17 12:45:00 PM,71.704,,
93,10/06/17 01:00:00 PM,71.748,,
94,10/06/17 01:15:00 PM,71.748,,
95,10/06/17 01:30:00 PM,71.791,,
96,10/06/17 01:45:00 PM,71.834,,
97,10/06/17 02:00:00 PM,71.964,,
98,10/06/17 02:15:00 PM,72.050,,
99,10/06/17 02:30:00 PM,72.136,,
100,10/06/17 02:45:00 PM,72.221,,
101,10/06/17 03:00:00 PM,72.178,,
102,10/06/17 03:15:00 PM,72.178,,
103,10/06/17 03:30:00 PM,72.136,,
104,10/06/17 03:45:00 PM,72.093,,
105,10/06/17 04:00:00 PM,72.136,,
106,10/06/17 04:15:00 PM,72.093,,
107,10/06/17 04:30:00 PM,72.050,,
108,10/06/17 04:45:00 PM,72.050,,
109,10/06/17 05:00:00 PM,72.007,,
110,10/06/17 05:15:00 PM,71.920,,
111,10/06/17 05:30:00 PM,72.007,,
112,10/06/17 05:45:00 PM,72.178,,
113,10/06/17 06:00:00 PM,72.480,,
114,10/06/17 06:15:00 PM,72.739,,
115,10/06/17 06:30:00 PM,72.955,,
116,10/06/17 06:45:00 PM,73.083,,
117,10/06/17 07:00:00 PM,73.083,,
118,10/06/17 07:15:00 PM,72.739,,
119,10/06/17 07:30:00 PM,72.480,,
120,10/06/17 07:45:00 PM,72.394,,
121,10/06/17 08:00:00 PM,72.437,,
122,10/06/17 08:15:00 PM,72.523,,
123,10/06/17 08:30:00 PM,72.610,,
124,10/06/17 08:45:00 PM,72.696,,
125,10/06/17 09:00:00 PM,72.783,,
126,10/06/17 09:15:00 PM,72.869,,
127,10/06/17 09:30:00 PM,72.912,,
128,10/06/17 09:45:00 PM,72.912,,
129,10/06/17 10:00:00 PM,72.955,,
130,10/06/17 10:15:00 PM,72.912,,
131,10/06/17 10:30:00 PM,72.912,,
132,10/06/17 10:45:00 PM,72.912,,
133,10/06/17 11:00:00 PM,72.912,,
134,10/06/17 11:15:00 PM,72.912,,
135,10/06/17 11:30:00 PM,72.955,,
136,10/06/17 11:45:00 PM,72.955,,
137,10/07/17 12:00:00 AM,72.955,,
138,10/07/17 12:15:00 AM,72.997,,
139,10/07/17 12:30:00 AM,72.997,,
140,10/07/17 12:45:00 AM,72.997,,
141,10/07/17 01:00:00 AM,72.997,,
