"Plot Title: 360_12-4_RAT"
"#","Date Time, GMT-04:00","Temp, °F (LGR S/N: 10889100, SEN S/N: 10889100)","Host Connected (LGR S/N: 10889100)","End Of File (LGR S/N: 10889100)"
1,10/05/17 02:00:00 PM,71.231,,
2,10/05/17 02:15:00 PM,71.274,,
3,10/05/17 02:30:00 PM,71.274,,
4,10/05/17 02:45:00 PM,71.317,,
5,10/05/17 03:00:00 PM,71.361,,
6,10/05/17 03:15:00 PM,71.447,,
7,10/05/17 03:30:00 PM,71.490,,
8,10/05/17 03:45:00 PM,71.533,,
9,10/05/17 04:00:00 PM,71.577,,
10,10/05/17 04:15:00 PM,71.533,,
11,10/05/17 04:30:00 PM,71.533,,
12,10/05/17 04:45:00 PM,71.577,,
13,10/05/17 05:00:00 PM,72.567,,
14,10/05/17 05:15:00 PM,74.338,,
15,10/05/17 05:30:00 PM,75.204,,
16,10/05/17 05:45:00 PM,75.681,,
17,10/05/17 06:00:00 PM,75.985,,
18,10/05/17 06:15:00 PM,76.114,,
19,10/05/17 06:30:00 PM,76.203,,
20,10/05/17 06:45:00 PM,76.246,,
21,10/05/17 07:00:00 PM,76.289,,
22,10/05/17 07:15:00 PM,76.203,,
23,10/05/17 07:30:00 PM,76.158,,
24,10/05/17 07:45:00 PM,76.071,,
25,10/05/17 08:00:00 PM,75.985,,
26,10/05/17 08:15:00 PM,75.898,,
27,10/05/17 08:30:00 PM,75.853,,
28,10/05/17 08:45:00 PM,75.767,,
29,10/05/17 09:00:00 PM,75.724,,
30,10/05/17 09:15:00 PM,75.637,,
31,10/05/17 09:30:00 PM,75.594,,
32,10/05/17 09:45:00 PM,75.594,,
33,10/05/17 10:00:00 PM,75.551,,
34,10/05/17 10:15:00 PM,75.117,,
35,10/05/17 10:30:00 PM,75.160,,
36,10/05/17 10:45:00 PM,74.943,,
37,10/05/17 11:00:00 PM,74.727,,
38,10/05/17 11:15:00 PM,74.597,,
39,10/05/17 11:30:00 PM,74.597,,
40,10/05/17 11:45:00 PM,74.467,,
41,10/06/17 12:00:00 AM,74.381,,
42,10/06/17 12:15:00 AM,74.295,,
43,10/06/17 12:30:00 AM,74.206,,
44,10/06/17 12:45:00 AM,74.120,,
45,10/06/17 01:00:00 AM,74.077,,
46,10/06/17 01:15:00 AM,74.034,,
47,10/06/17 01:30:00 AM,73.990,,
48,10/06/17 01:45:00 AM,73.947,,
49,10/06/17 02:00:00 AM,73.904,,
50,10/06/17 02:15:00 AM,73.818,,
51,10/06/17 02:30:00 AM,73.731,,
52,10/06/17 02:45:00 AM,73.688,,
53,10/06/17 03:00:00 AM,73.645,,
54,10/06/17 03:15:00 AM,73.645,,
55,10/06/17 03:30:00 AM,73.602,,
56,10/06/17 03:45:00 AM,73.602,,
57,10/06/17 04:00:00 AM,73.515,,
58,10/06/17 04:15:00 AM,73.515,,
59,10/06/17 04:30:00 AM,73.515,,
60,10/06/17 04:45:00 AM,73.472,,
61,10/06/17 05:00:00 AM,73.429,,
62,10/06/17 05:15:00 AM,73.429,,
63,10/06/17 05:30:00 AM,73.386,,
64,10/06/17 05:45:00 AM,73.386,,
65,10/06/17 06:00:00 AM,73.083,,
66,10/06/17 06:15:00 AM,72.480,,
67,10/06/17 06:30:00 AM,72.136,,
68,10/06/17 06:45:00 AM,71.964,,
69,10/06/17 07:00:00 AM,71.877,,
70,10/06/17 07:15:00 AM,71.791,,
71,10/06/17 07:30:00 AM,71.748,,
72,10/06/17 07:45:00 AM,71.704,,
73,10/06/17 08:00:00 AM,71.661,,
74,10/06/17 08:15:00 AM,71.577,,
75,10/06/17 08:30:00 AM,71.490,,
76,10/06/17 08:45:00 AM,71.447,,
77,10/06/17 09:00:00 AM,71.447,,
78,10/06/17 09:15:00 AM,71.490,,
79,10/06/17 09:30:00 AM,71.490,,
80,10/06/17 09:45:00 AM,71.533,,
81,10/06/17 10:00:00 AM,71.533,,
82,10/06/17 10:15:00 AM,71.577,,
83,10/06/17 10:30:00 AM,71.533,,
84,10/06/17 10:45:00 AM,71.490,,
85,10/06/17 11:00:00 AM,71.533,,
86,10/06/17 11:15:00 AM,71.577,,
87,10/06/17 11:30:00 AM,71.577,,
88,10/06/17 11:45:00 AM,71.533,,
89,10/06/17 12:00:00 PM,71.490,,
