"Plot Title: Adam360_12-4_Supply Fan"
"#","Date Time, GMT-04:00","Supply Fan (LGR S/N: 10939610, SEN S/N: 10939610, LBL: Supply Fan)","Internal Calibration (LGR S/N: 10939610)","Calibration Failure (LGR S/N: 10939610)","Host Connected (LGR S/N: 10939610)","End Of File (LGR S/N: 10939610)"
1,10/05/17 12:43:29 PM,0.00,Logged,,,
2,10/05/17 12:44:04 PM,,,Logged,,
3,10/05/17 12:44:14 PM,1.00,,,,
4,10/05/17 12:44:22 PM,,Logged,,,
5,10/05/17 01:06:10 PM,0.00,,,,
6,10/05/17 01:06:33 PM,1.00,,,,
7,10/05/17 04:52:01 PM,0.00,,,,
8,10/06/17 05:48:56 AM,1.00,,,,
9,10/06/17 06:50:15 PM,0.00,,,,
10,10/09/17 09:42:08 PM,1.00,,,,
11,10/10/17 06:25:10 PM,0.00,,,,
12,10/11/17 05:19:09 AM,1.00,,,,
13,10/11/17 12:03:28 PM,0.00,,,,
14,10/12/17 05:52:42 AM,1.00,,,,
15,10/12/17 04:56:06 PM,0.00,,,,
16,10/13/17 05:41:29 AM,1.00,,,,
17,10/13/17 12:38:10 PM,0.00,,,,
18,10/16/17 12:42:29 AM,1.00,,,,
19,10/16/17 12:12:42 PM,0.00,,,,
20,10/17/17 10:58:32 PM,1.00,,,,
21,10/18/17 11:47:00 AM,0.00,,,,
22,10/18/17 11:48:48 AM,,,,Logged,
23,10/18/17 11:50:01 AM,0.00,,,,Logged
